passenger_id,trajectory_type,trajectory_time,trajectory_platform
20554,Boarding,22890,108_1_1
20554,Exit,23310,105_1_1
220420,Arrival,22980,921_4_1
220420,Boarding,22980,921_4_1
220420,Exit,23340,918_4_1
122306,Arrival,22500,214_2_1
122306,Boarding,22500,214_2_1
122306,Transfer,22800,113_1_0
122306,Boarding,22980,113_1_0
122306,Exit,23340,116_1_0
41549,Arrival,22980,113_1_0
41549,Boarding,22980,113_1_0
41549,Exit,23340,116_1_0
41550,Arrival,22980,113_1_0
41550,Boarding,22980,113_1_0
41550,Exit,23340,116_1_0
106803,Arrival,21750,208_3_1
106803,Boarding,21750,208_3_1
106803,Transfer,22170,305_4_0
106803,Boarding,22560,305_4_0
106803,Exit,23340,922_4_0
99967,Arrival,21660,206_2_0
99967,Boarding,21660,206_2_0
99967,Transfer,22020,208_3_1
99967,Boarding,22200,208_3_1
99967,Transfer,22620,305_4_0
99967,Boarding,22560,305_4_0
99967,Exit,23340,922_4_0
113505,Arrival,21750,210_2_1
113505,Boarding,21750,210_2_1
113505,Transfer,22110,208_3_1
113505,Boarding,22200,208_3_1
113505,Transfer,22620,305_4_0
113505,Boarding,22560,305_4_0
113505,Exit,23340,922_4_0
214007,Arrival,22980,919_4_0
214007,Boarding,22980,919_4_0
214007,Exit,23340,922_4_0
214008,Arrival,22980,919_4_0
214008,Boarding,22980,919_4_0
214008,Exit,23340,922_4_0
220779,Arrival,23220,921_4_0
220779,Boarding,23220,921_4_0
220779,Exit,23340,922_4_0
220778,Arrival,23220,921_4_0
220778,Boarding,23220,921_4_0
220778,Exit,23340,922_4_0
7539,Arrival,21930,103_1_0
7539,Boarding,21930,103_1_0
7539,Exit,23370,113_1_0
215824,Arrival,21900,921_4_1
215824,Boarding,21900,921_4_1
215824,Transfer,22440,108_1_0
215824,Boarding,22710,108_1_0
215824,Exit,23370,113_1_0
129153,Arrival,21750,216_2_1
129153,Boarding,21750,216_2_1
129153,Transfer,22350,113_1_0
129153,Boarding,22590,113_1_0
129153,Exit,23370,119_1_0
122478,Arrival,22050,214_2_1
122478,Boarding,22050,214_2_1
122478,Transfer,22350,113_1_0
122478,Boarding,22590,113_1_0
122478,Exit,23370,119_1_0
122479,Arrival,22050,214_2_1
122479,Boarding,22050,214_2_1
122479,Transfer,22350,113_1_0
122479,Boarding,22590,113_1_0
122479,Exit,23370,119_1_0
115807,Arrival,22230,213_2_1
115807,Boarding,22230,213_2_1
115807,Transfer,22350,113_1_0
115807,Boarding,22590,113_1_0
115807,Exit,23370,119_1_0
149399,Arrival,21870,305_3_0
149399,Boarding,21870,305_3_0
149399,Transfer,23010,116_1_0
149399,Boarding,22950,116_1_0
149399,Exit,23370,119_1_0
116874,Arrival,22230,213_2_1
116874,Boarding,22230,213_2_1
116874,Exit,23370,206_2_1
157067,Arrival,22350,310_3_1
157067,Boarding,22350,310_3_1
157067,Transfer,22650,208_2_1
157067,Boarding,23010,208_2_1
157067,Exit,23370,206_2_1
204023,Arrival,21720,918_4_1
204023,Boarding,21720,918_4_1
204023,Transfer,22020,305_3_0
204023,Boarding,22320,305_3_0
204023,Transfer,22740,208_2_1
204023,Boarding,23010,208_2_1
204023,Exit,23370,206_2_1
22591,Arrival,21900,108_4_1
22591,Boarding,21900,108_4_1
22591,Transfer,22020,305_3_0
22591,Boarding,22320,305_3_0
22591,Transfer,22740,208_2_1
22591,Boarding,23010,208_2_1
22591,Exit,23370,206_2_1
150508,Arrival,22320,305_3_0
150508,Boarding,22320,305_3_0
150508,Transfer,22740,208_2_1
150508,Boarding,23010,208_2_1
150508,Exit,23370,206_2_1
150505,Arrival,22320,305_3_0
150505,Boarding,22320,305_3_0
150505,Transfer,22740,208_2_1
150505,Boarding,23010,208_2_1
150505,Exit,23370,206_2_1
161932,Arrival,21900,316_3_1
161932,Boarding,21900,316_3_1
161932,Transfer,22380,116_1_1
161932,Boarding,22650,116_1_1
161932,Exit,23370,110_1_1
119685,Arrival,21780,213_2_1
119685,Boarding,21780,213_2_1
119685,Transfer,21900,113_1_1
119685,Boarding,22230,113_1_1
119685,Transfer,22890,108_4_0
119685,Boarding,23220,108_4_0
119685,Exit,23400,918_4_0
18916,Arrival,22680,105_1_0
18916,Boarding,22680,105_1_0
18916,Transfer,23100,108_4_0
18916,Boarding,23220,108_4_0
18916,Exit,23400,918_4_0
52545,Arrival,22260,116_1_1
52545,Boarding,22260,116_1_1
52545,Transfer,23280,108_4_0
52545,Boarding,23220,108_4_0
52545,Exit,23400,918_4_0
126294,Arrival,22050,214_2_1
126294,Boarding,22050,214_2_1
126294,Transfer,22350,113_1_1
126294,Boarding,22620,113_1_1
126294,Transfer,23280,108_4_0
126294,Boarding,23220,108_4_0
126294,Exit,23400,918_4_0
569,Arrival,21960,101_1_0
569,Boarding,21960,101_1_0
569,Exit,23400,110_1_0
568,Arrival,21960,101_1_0
568,Boarding,21960,101_1_0
568,Exit,23400,110_1_0
215477,Arrival,22440,921_4_1
215477,Boarding,22440,921_4_1
215477,Transfer,22980,108_1_0
215477,Boarding,23100,108_1_0
215477,Exit,23400,110_1_0
215476,Arrival,22440,921_4_1
215476,Boarding,22440,921_4_1
215476,Transfer,22980,108_1_0
215476,Boarding,23100,108_1_0
215476,Exit,23400,110_1_0
215475,Arrival,22440,921_4_1
215475,Boarding,22440,921_4_1
215475,Transfer,22980,108_1_0
215475,Boarding,23100,108_1_0
215475,Exit,23400,110_1_0
202167,Arrival,22800,918_4_1
202167,Boarding,22800,918_4_1
202167,Transfer,22980,108_1_0
202167,Boarding,23100,108_1_0
202167,Exit,23400,110_1_0
20743,Arrival,23100,108_1_0
20743,Boarding,23100,108_1_0
20743,Exit,23400,110_1_0
162313,Arrival,22350,316_3_1
162313,Boarding,22350,316_3_1
162313,Transfer,22830,116_1_1
162313,Boarding,23040,116_1_1
