passenger_id,trajectory_type,trajectory_time,trajectory_platform
1294,Boarding,21930,101_1_1
1294,Exit,24630,119_1_1
110680,Boarding,22470,210_2_1
110680,Exit,24630,214_2_1
97354,Boarding,23130,206_2_0
97354,Exit,24630,216_2_0
97351,Boarding,23130,206_2_0
97351,Exit,24630,216_2_0
97353,Boarding,23130,206_2_0
97353,Exit,24630,216_2_0
30239,Boarding,23790,110_1_0
30239,Transfer,24150,113_1_0
30239,Boarding,24150,113_2_0
30239,Exit,24630,216_2_0
13853,Boarding,24240,105_1_0
13853,Exit,24660,108_1_0
13854,Boarding,24240,105_1_0
13854,Exit,24660,108_1_0
90894,Boarding,22380,204_2_0
90894,Exit,24660,219_2_0
97552,Boarding,22680,206_2_0
97552,Exit,24660,219_2_0
30415,Boarding,23400,110_1_0
30415,Transfer,23760,113_1_0
30415,Boarding,23700,113_2_0
30415,Exit,24660,219_2_0
30417,Boarding,23400,110_1_0
30417,Transfer,23760,113_1_0
30417,Boarding,23700,113_2_0
30417,Exit,24660,219_2_0
37233,Boarding,23520,111_1_0
37233,Transfer,23760,113_1_0
37233,Boarding,23700,113_2_0
37233,Exit,24660,219_2_0
42720,Boarding,23460,113_2_1
42720,Exit,24660,204_2_1
109972,Boarding,23820,210_2_1
109972,Exit,24660,204_2_1
82929,Boarding,24360,202_2_1
82929,Exit,24660,204_2_1
212,Boarding,23880,101_1_1
212,Exit,24660,105_1_1
7176,Boarding,23850,103_1_1
7176,Exit,24690,110_1_1
148262,Boarding,24360,305_3_1
148262,Exit,24720,105_3_1
156325,Boarding,21960,310_3_0
156325,Transfer,23040,116_3_0
156325,Boarding,23340,116_1_0
156325,Exit,24720,125_1_0
89246,Boarding,21930,204_2_0
89246,Transfer,22590,208_2_0
89246,Boarding,22620,208_3_0
89246,Transfer,23040,116_3_0
89246,Boarding,23340,116_1_0
89246,Exit,24720,125_1_0
62267,Boarding,24240,122_1_0
62267,Exit,24720,125_1_0
62268,Boarding,24240,122_1_0
62268,Exit,24720,125_1_0
22048,Boarding,21930,108_1_0
22048,Exit,24750,128_1_0
28740,Boarding,22230,110_1_0
28740,Exit,24750,128_1_0
62265,Boarding,24330,122_1_1
62265,Exit,24750,125_1_1
62266,Boarding,24330,122_1_1
62266,Exit,24750,125_1_1
96758,Boarding,24030,206_2_0
96758,Exit,24750,210_2_0
197692,Boarding,23460,913_4_0
197692,Transfer,23940,305_4_0
197692,Boarding,24000,305_3_0
197692,Transfer,24420,208_3_0
197692,Boarding,24390,208_2_0
197692,Exit,24750,210_2_0
23357,Boarding,21930,108_1_0
23357,Transfer,22590,113_1_0
23357,Boarding,22560,113_2_0
23357,Exit,24780,214_2_0
30023,Boarding,22230,110_1_0
30023,Transfer,22590,113_1_0
30023,Boarding,22560,113_2_0
30023,Exit,24780,214_2_0
103989,Boarding,23940,208_2_0
103989,Exit,24780,214_2_0
30025,Boarding,24180,110_1_0
30025,Transfer,24540,113_1_0
30025,Boarding,24600,113_2_0
30025,Exit,24780,214_2_0
30026,Boarding,24180,110_1_0
30026,Transfer,24540,113_1_0
30026,Boarding,24600,113_2_0
30026,Exit,24780,214_2_0
110519,Boarding,22920,210_2_1
110519,Exit,24780,213_2_1
83716,Boarding,23460,202_2_1
83716,Exit,24780,213_2_1
109792,Boarding,24270,210_2_1
109792,Exit,24810,202_2_1
152519,Boarding,22650,305_3_0
152519,Exit,24810,325_3_0
91962,Boarding,22380,204_2_0
91962,Transfer,23040,208_2_0
91962,Boarding,23070,208_3_0
91962,Exit,24810,325_3_0
18172,Boarding,21900,105_1_0
18172,Transfer,23340,116_1_0
18172,Boarding,23490,116_3_0
18172,Exit,24810,325_3_0
18171,Boarding,21900,105_1_0
