train_id,timestamp,train_load_type,train_load,platform_id
3_0_11,26100,Arrival,135,325_3_0
1_1_17,26100,Arrival,36,116_1_1
4_0_11,26100,Arrival,252,926_4_0
4_1_15,26100,Arrival,135,925_4_1
4_1_14,26100,Departure,118,922_4_1
1_0_17,26100,Departure,222,113_1_0
2_1_17,26100,Departure,166,214_2_1
1_1_18,26130,Departure,75,119_1_1
1_0_20,26130,Arrival,121,105_1_0
1_0_18,26130,Departure,146,110_1_0
3_0_18,26130,Departure,46,303_3_0
3_0_16,26130,Arrival,71,310_3_0
1_1_16,26130,Departure,148,113_1_1
3_1_16,26130,Departure,106,321_3_1
2_0_14,26130,Departure,106,214_2_0
3_0_14,26130,Arrival,63,316_3_0
1_0_14,26130,Arrival,113,122_1_0
1_1_17,26160,Departure,102,116_1_1
1_0_21,26160,Departure,98,103_1_0
3_1_19,26160,Departure,60,329_3_1
3_0_11,26160,Departure,163,325_3_0
2_0_19,26160,Departure,38,202_2_0
2_1_19,26160,Departure,28,219_2_1
3_0_19,26160,Departure,52,105_3_0
3_1_11,26160,Arrival,116,305_3_1
4_0_13,26160,Arrival,58,919_4_0
4_1_13,26160,Arrival,271,108_4_1
4_0_16,26160,Departure,67,909_4_0
3_0_15,26160,Departure,81,116_3_0
4_1_16,26160,Departure,58,928_4_1
4_1_15,26160,Departure,177,925_4_1
4_1_14,26160,Arrival,118,921_4_1
1_0_19,26160,Arrival,70,108_1_0
4_0_11,26160,Departure,282,926_4_0
2_0_17,26160,Departure,117,206_2_0
2_1_15,26160,Departure,117,208_2_1
1_0_14,26190,Departure,143,122_1_0
3_0_14,26190,Departure,122,316_3_0
3_1_12,26190,Arrival,93,208_3_1
1_0_20,26190,Departure,109,105_1_0
2_1_16,26190,Arrival,70,210_2_1
3_0_16,26190,Departure,111,310_3_0
1_0_18,26190,Arrival,146,111_1_0
2_1_18,26190,Arrival,34,216_2_1
2_1_17,26220,Arrival,166,213_2_1
4_0_13,26220,Departure,129,919_4_0
1_0_13,26220,Arrival,100,125_1_0
4_1_13,26220,Departure,194,108_4_1
4_1_14,26220,Departure,183,921_4_1
1_0_19,26220,Departure,193,108_1_0
3_1_11,26220,Departure,142,305_3_1
4_1_12,26220,Arrival,62,913_4_1
1_1_21,26220,Arrival,62,125_1_1
2_0_15,26220,Arrival,77,113_2_0
1_0_22,26250,Arrival,6,103_1_0
1_1_24,26250,Departure,42,128_1_1
1_0_18,26250,Departure,201,111_1_0
1_0_12,26250,Arrival,158,128_1_0
1_0_24,26250,Departure,31,101_1_0
2_1_18,26250,Departure,93,216_2_1
1_1_12,26250,Arrival,119,101_1_1
3_1_12,26250,Departure,183,208_3_1
2_0_18,26250,Arrival,27,204_2_0
2_1_16,26250,Departure,118,210_2_1
4_0_14,26280,Arrival,49,305_4_0
2_0_15,26280,Departure,116,113_2_0
4_1_12,26280,Departure,169,913_4_1
4_1_13,26280,Arrival,194,305_4_1
3_0_17,26280,Arrival,89,208_3_0
1_0_13,26280,Departure,160,125_1_0
2_1_17,26280,Departure,226,213_2_1
1_1_21,26280,Departure,61,125_1_1
1_1_12,26310,Departure,121,101_1_1
3_0_18,26310,Arrival,46,305_3_0
1_0_12,26310,Departure,158,128_1_0
1_1_16,26310,Arrival,148,111_1_1
2_1_14,26310,Arrival,163,204_2_1
2_0_18,26310,Departure,121,204_2_0
3_0_10,26310,Arrival,90,329_3_0
1_0_22,26310,Departure,39,103_1_0
3_1_10,26310,Arrival,173,105_3_1
2_1_17,26340,Arrival,226,113_2_1
4_0_14,26340,Departure,126,305_4_0
3_0_17,26340,Departure,90,208_3_0
3_1_15,26340,Arrival,45,316_3_1
2_0_15,26340,Arrival,116,213_2_0
3_1_13,26340,Arrival,87,310_3_1
4_0_15,26340,Arrival,54,913_4_0
1_1_15,26340,Arrival,189,108_1_1
4_1_13,26340,Departure,131,305_4_1
1_1_13,26340,Arrival,134,103_1_1
3_1_18,26370,Arrival,66,325_3_1
1_1_16,26370,Departure,173,111_1_1
3_0_18,26370,Departure,99,305_3_0
3_0_10,26370,Departure,131,329_3_0
1_1_20,26370,Arrival,85,122_1_1
2_0_16,26370,Arrival,84,210_2_0
2_1_14,26370,Departure,160,204_2_1
1_1_22,26370,Arrival,13,125_1_1
3_1_14,26370,Arrival,79,116_3_1
3_1_10,26370,Departure,205,105_3_1
2_0_14,26370,Arrival,106,216_2_0
1_1_14,26370,Arrival,124,105_1_1
4_1_11,26400,Arrival,150,909_4_1
3_1_11,26400,Arrival,142,303_3_1
1_0_23,26400,Arrival,41,103_1_0
4_0_11,26400,Arrival,282,928_4_0
1_1_25,26400,Departure,19,128_1_1
4_0_14,26400,Arrival,126,108_4_0
3_1_13,26400,Departure,131,310_3_1
1_0_25,26400,Departure,23,101_1_0
1_1_15,26400,Departure,193,108_1_1
4_0_13,26400,Arrival,129,921_4_0
2_0_13,26400,Arrival,97,219_2_0
3_0_13,26400,Arrival,112,321_3_0
4_1_14,26400,Arrival,183,919_4_1
1_1_13,26400,Departure,127,103_1_1
2_0_15,26400,Departure,144,213_2_0
4_0_15,26400,Departure,81,913_4_0
1_0_17,26400,Arrival,222,116_1_0
2_1_17,26400,Departure,98,113_2_1
3_1_15,26400,Departure,99,316_3_1
2_1_13,26400,Arrival,148,202_2_1
1_0_18,26430,Arrival,201,113_1_0
3_1_14,26430,Departure,113,116_3_1
2_0_14,26430,Departure,143,216_2_0
3_1_18,26430,Departure,143,325_3_1
1_1_20,26430,Departure,140,122_1_1
1_0_16,26430,Arrival,123,119_1_0
1_1_14,26430,Departure,128,105_1_1
1_1_16,26430,Arrival,173,110_1_1
2_0_16,26430,Departure,115,210_2_0
1_1_22,26430,Departure,43,125_1_1
1_0_23,26460,Departure,57,103_1_0
4_0_14,26460,Departure,202,108_4_0
1_1_19,26460,Arrival,80,119_1_1
2_1_15,26460,Arrival,117,206_2_1
2_0_17,26460,Arrival,117,208_2_0
4_1_16,26460,Arrival,58,926_4_1
1_1_17,26460,Arrival,102,113_1_1
4_1_14,26460,Departure,235,919_4_1
3_1_11,26460,Departure,215,303_3_1
4_0_12,26460,Arrival,334,925_4_0
4_0_11,26460,Departure,336,928_4_0
2_1_13,26460,Departure,204,202_2_1
1_0_17,26460,Departure,164,116_1_0
1_0_19,26460,Arrival,193,110_1_0
4_1_11,26460,Departure,223,909_4_1
1_0_21,26460,Arrival,98,105_1_0
3_0_13,26460,Departure,180,321_3_0
4_0_13,26460,Departure,186,921_4_0
2_0_13,26460,Departure,162,219_2_0
1_1_18,26490,Arrival,75,116_1_1
1_0_18,26490,Departure,239,113_1_0
2_1_18,26490,Arrival,93,214_2_1
1_0_16,26490,Departure,187,119_1_0
1_1_16,26490,Departure,227,110_1_1
2_1_15,26520,Departure,178,206_2_1
1_1_23,26520,Arrival,39,125_1_1
2_0_15,26520,Arrival,144,214_2_0
1_1_17,26520,Departure,183,113_1_1
1_0_15,26520,Arrival,176,122_1_0
3_1_17,26520,Arrival,79,321_3_1
4_0_12,26520,Departure,372,925_4_0
1_1_19,26520,Departure,90,119_1_1
3_0_19,26520,Arrival,52,303_3_0
2_0_17,26520,Departure,81,208_2_0
1_0_21,26520,Departure,109,105_1_0
4_1_14,26520,Arrival,235,918_4_1
4_1_16,26520,Departure,144,926_4_1
1_0_19,26520,Departure,185,110_1_0
4_0_13,26520,Arrival,186,922_4_0
2_1_18,26550,Departure,192,214_2_1
1_0_26,26550,Departure,40,101_1_0
1_0_20,26550,Arrival,109,108_1_0
3_0_12,26550,Arrival,151,325_3_0
1_0_24,26550,Arrival,31,103_1_0
3_0_16,26550,Arrival,111,116_3_0
2_0_18,26550,Arrival,121,206_2_0
1_1_26,26550,Departure,36,128_1_1
1_1_18,26550,Departure,122,116_1_1
2_1_16,26550,Arrival,118,208_2_1
3_1_17,26580,Departure,110,321_3_1
2_0_15,26580,Departure,142,214_2_0
3_0_15,26580,Arrival,81,316_3_0
1_0_15,26580,Departure,201,122_1_0
4_1_14,26580,Departure,346,918_4_1
4_1_15,26580,Arrival,177,922_4_1
3_0_17,26580,Arrival,90,310_3_0
1_1_23,26580,Departure,76,125_1_1
4_0_14,26580,Arrival,202,918_4_0
3_0_19,26580,Departure,75,303_3_0
4_0_13,26580,Departure,291,922_4_0
1_0_19,26580,Arrival,185,111_1_0
2_1_16,26610,Departure,156,208_2_1
3_0_12,26610,Departure,165,325_3_0
2_0_18,26610,Departure,141,206_2_0
1_0_14,26610,Arrival,143,125_1_0
3_1_12,26610,Arrival,183,305_3_1
2_0_20,26610,Departure,27,202_2_0
3_0_16,26610,Departure,159,116_3_0
1_0_24,26610,Departure,78,103_1_0
1_0_20,26610,Departure,123,108_1_0
1_0_22,26610,Arrival,39,105_1_0
3_0_20,26610,Departure,39,105_3_0
3_1_20,26610,Departure,52,329_3_1
2_1_20,26610,Departure,27,219_2_1
3_1_13,26640,Arrival,131,208_3_1
1_1_13,26640,Arrival,127,101_1_1
3_0_15,26640,Departure,139,316_3_0
1_0_13,26640,Arrival,160,128_1_0
3_0_17,26640,Departure,132,310_3_0
4_1_15,26640,Departure,186,922_4_1
4_0_12,26640,Arrival,372,926_4_0
4_1_16,26640,Arrival,144,925_4_1
2_1_19,26640,Arrival,28,216_2_1
2_1_17,26640,Arrival,98,210_2_1
4_0_14,26640,Departure,198,918_4_0
1_0_19,26640,Departure,241,111_1_0
3_1_12,26670,Departure,166,305_3_1
2_0_16,26670,Arrival,115,113_2_0
1_0_22,26670,Departure,52,105_1_0
1_1_24,26670,Arrival,42,125_1_1
2_1_18,26670,Arrival,192,213_2_1
1_0_14,26670,Departure,146,125_1_0
4_1_14,26700,Arrival,346,108_4_1
1_1_27,26700,Departure,38,128_1_1
2_1_19,26700,Departure,90,216_2_1
1_1_21,26700,Arrival,61,122_1_1
4_1_16,26700,Departure,183,925_4_1
4_1_17,26700,Departure,53,928_4_1
4_1_15,26700,Arrival,186,921_4_1
1_1_17,26700,Arrival,183,111_1_1
4_0_17,26700,Departure,49,909_4_0
4_0_14,26700,Arrival,198,919_4_0
2_0_19,26700,Arrival,38,204_2_0
3_1_13,26700,Departure,197,208_3_1
1_1_13,26700,Departure,156,101_1_1
2_1_17,26700,Departure,154,210_2_1
1_0_27,26700,Departure,0,101_1_0
1_0_25,26700,Arrival,23,103_1_0
4_0_12,26700,Departure,372,926_4_0
1_0_13,26700,Departure,151,128_1_0
1_1_16,26730,Arrival,227,108_1_1
2_0_16,26730,Departure,199,113_2_0
3_0_18,26730,Arrival,99,208_3_0
1_1_14,26730,Arrival,128,103_1_1
2_1_18,26730,Departure,267,213_2_1
1_1_24,26730,Departure,57,125_1_1
4_1_15,26760,Departure,246,921_4_1
1_0_25,26760,Departure,65,103_1_0
3_0_19,26760,Arrival,75,305_3_0
1_1_21,26760,Departure,99,122_1_1
4_1_13,26760,Arrival,131,913_4_1
4_1_14,26760,Departure,250,108_4_1
1_0_23,26760,Arrival,57,105_1_0
3_1_11,26760,Arrival,215,105_3_1
1_1_17,26760,Departure,197,111_1_1
3_0_11,26760,Arrival,163,329_3_0
1_1_15,26760,Arrival,193,105_1_1
2_1_15,26760,Arrival,178,204_2_1
4_0_14,26760,Departure,231,919_4_0
2_0_19,26760,Departure,120,204_2_0
1_1_16,26790,Departure,154,108_1_1
3_0_18,26790,Departure,95,208_3_0
2_0_16,26790,Arrival,199,213_2_0
3_1_16,26790,Arrival,106,316_3_1
1_1_14,26790,Departure,125,103_1_1
3_1_14,26790,Arrival,113,310_3_1
1_0_18,26790,Arrival,239,116_1_0
2_1_18,26790,Arrival,267,113_2_1
2_0_15,26820,Arrival,142,216_2_0
2_0_17,26820,Arrival,81,210_2_0
1_1_17,26820,Arrival,197,110_1_1
3_0_11,26820,Departure,201,329_3_0
4_0_15,26820,Arrival,81,305_4_0
4_1_13,26820,Departure,211,913_4_1
1_0_17,26820,Arrival,164,119_1_0
3_1_11,26820,Departure,234,105_3_1
1_1_15,26820,Departure,181,105_1_1
1_1_25,26820,Arrival,19,125_1_1
3_1_19,26820,Arrival,60,325_3_1
4_1_14,26820,Arrival,250,305_4_1
3_0_19,26820,Departure,187,305_3_0
3_1_15,26820,Arrival,99,116_3_1
2_1_15,26820,Departure,188,204_2_1
1_0_23,26820,Departure,43,105_1_0
1_0_19,26820,Arrival,241,113_1_0
2_0_14,26850,Arrival,143,219_2_0
2_1_18,26850,Departure,104,113_2_1
3_0_14,26850,Arrival,122,321_3_0
2_0_16,26850,Departure,204,213_2_0
3_1_16,26850,Departure,170,316_3_1
3_1_12,26850,Arrival,166,303_3_1
1_0_20,26850,Arrival,123,110_1_0
1_1_22,26850,Arrival,43,122_1_1
1_0_28,26850,Departure,36,101_1_0
1_1_18,26850,Arrival,122,113_1_1
1_0_18,26850,Departure,228,116_1_0
3_1_14,26850,Departure,124,310_3_1
2_1_14,26850,Arrival,160,202_2_1
1_0_26,26850,Arrival,40,103_1_0
1_1_20,26850,Arrival,140,119_1_1
1_1_28,26850,Departure,37,128_1_1
3_1_19,26880,Departure,135,325_3_1
4_1_14,26880,Departure,163,305_4_1
4_0_15,26880,Departure,137,305_4_0
1_0_21,26880,Arrival,109,108_1_0
1_1_25,26880,Departure,54,125_1_1
1_1_19,26880,Arrival,90,116_1_1
2_0_15,26880,Departure,158,216_2_0
1_1_17,26880,Departure,280,110_1_1
3_1_15,26880,Departure,73,116_3_1
1_0_17,26880,Departure,238,119_1_0
4_0_16,26880,Arrival,67,913_4_0
2_0_17,26880,Departure,112,210_2_0
1_0_19,26880,Departure,265,113_1_0
3_0_14,26910,Departure,194,321_3_0
2_1_16,26910,Arrival,156,206_2_1
1_0_16,26910,Arrival,187,122_1_0
3_1_12,26910,Departure,229,303_3_1
1_1_18,26910,Departure,236,113_1_1
1_0_26,26910,Departure,75,103_1_0
2_1_14,26910,Departure,217,202_2_1
1_0_20,26910,Departure,122,110_1_0
1_1_22,26910,Departure,97,122_1_1
2_0_14,26910,Departure,205,219_2_0
2_0_18,26910,Arrival,141,208_2_0
1_1_20,26910,Departure,142,119_1_1
1_0_24,26910,Arrival,78,105_1_0
2_1_19,26940,Arrival,90,214_2_1
4_0_16,26940,Departure,91,913_4_0
4_0_12,26940,Arrival,372,928_4_0
4_0_15,26940,Arrival,137,108_4_0
4_1_15,26940,Arrival,246,919_4_1
1_0_21,26940,Departure,308,108_1_0
1_1_19,26940,Departure,133,116_1_1
4_1_12,26940,Arrival,169,909_4_1
4_0_14,26940,Arrival,231,921_4_0
3_1_18,26970,Arrival,143,321_3_1
1_0_16,26970,Departure,195,122_1_0
1_0_20,26970,Arrival,122,111_1_0
3_0_20,26970,Arrival,39,303_3_0
1_0_24,26970,Departure,93,105_1_0
2_0_18,26970,Departure,89,208_2_0
1_1_26,26970,Arrival,36,125_1_1
2_0_16,26970,Arrival,204,214_2_0
2_1_16,26970,Departure,226,206_2_1
3_0_17,27000,Arrival,132,116_3_0
4_0_15,27000,Departure,233,108_4_0
1_0_15,27000,Arrival,201,125_1_0
4_0_13,27000,Arrival,291,925_4_0
1_1_29,27000,Departure,41,128_1_1
4_1_12,27000,Departure,226,909_4_1
3_0_13,27000,Arrival,180,325_3_0
2_0_19,27000,Arrival,120,206_2_0
1_1_23,27000,Arrival,76,122_1_1
4_1_15,27000,Departure,300,919_4_1
4_0_14,27000,Departure,276,921_4_0
1_0_29,27000,Departure,28,101_1_0
4_0_12,27000,Departure,372,928_4_0
2_1_17,27000,Arrival,154,208_2_1
2_1_19,27000,Departure,197,214_2_1
4_1_17,27000,Arrival,53,926_4_1
1_0_22,27030,Arrival,52,108_1_0
1_0_14,27030,Arrival,146,128_1_0
1_1_14,27030,Arrival,125,101_1_1
2_0_16,27030,Departure,194,214_2_0
3_0_18,27030,Arrival,95,310_3_0
1_0_20,27030,Departure,171,111_1_0
3_0_20,27030,Departure,57,303_3_0
3_1_18,27030,Departure,169,321_3_1
3_0_16,27030,Arrival,159,316_3_0
1_1_26,27030,Departure,71,125_1_1
3_0_13,27060,Departure,223,325_3_0
1_0_25,27060,Arrival,65,105_1_0
3_1_21,27060,Departure,69,329_3_1
3_0_17,27060,Departure,202,116_3_0
1_0_15,27060,Departure,194,125_1_0
3_0_21,27060,Departure,55,105_3_0
4_0_13,27060,Departure,350,925_4_0
2_0_19,27060,Departure,143,206_2_0
2_0_21,27060,Departure,42,202_2_0
1_1_23,27060,Departure,92,122_1_1
4_0_14,27060,Arrival,276,922_4_0
