event_id,line_id,direction_id,train_id,station_id,platform_id,event_timestamp,event_type
354,1,0,1_0_15,119,119_1_0,26100,Departure
355,1,0,1_0_15,122,122_1_0,26520,Arrival
356,1,0,1_0_15,122,122_1_0,26580,Departure
357,1,0,1_0_15,125,125_1_0,27000,Arrival
358,1,0,1_0_15,125,125_1_0,27060,Departure
359,1,0,1_0_15,128,128_1_0,27420,Arrival
360,1,0,1_0_15,128,128_1_0,27480,Departure
361,1,0,1_0_16,101,101_1_0,23850,Arrival
362,1,0,1_0_16,101,101_1_0,23910,Departure
363,1,0,1_0_16,103,103_1_0,24210,Arrival
364,1,0,1_0_16,103,103_1_0,24270,Departure
365,1,0,1_0_16,105,105_1_0,24570,Arrival
366,1,0,1_0_16,105,105_1_0,24630,Departure
367,1,0,1_0_16,108,108_1_0,24990,Arrival
368,1,0,1_0_16,108,108_1_0,25050,Departure
369,1,0,1_0_16,110,110_1_0,25290,Arrival
370,1,0,1_0_16,110,110_1_0,25350,Departure
371,1,0,1_0_16,111,111_1_0,25410,Arrival
372,1,0,1_0_16,111,111_1_0,25470,Departure
373,1,0,1_0_16,113,113_1_0,25650,Arrival
374,1,0,1_0_16,113,113_1_0,25710,Departure
375,1,0,1_0_16,116,116_1_0,26010,Arrival
376,1,0,1_0_16,116,116_1_0,26070,Departure
377,1,0,1_0_16,119,119_1_0,26430,Arrival
378,1,0,1_0_16,119,119_1_0,26490,Departure
379,1,0,1_0_16,122,122_1_0,26910,Arrival
380,1,0,1_0_16,122,122_1_0,26970,Departure
381,1,0,1_0_16,125,125_1_0,27390,Arrival
382,1,0,1_0_16,125,125_1_0,27450,Departure
383,1,0,1_0_16,128,128_1_0,27810,Arrival
384,1,0,1_0_16,128,128_1_0,27870,Departure
385,1,0,1_0_17,101,101_1_0,24240,Arrival
386,1,0,1_0_17,101,101_1_0,24300,Departure
387,1,0,1_0_17,103,103_1_0,24600,Arrival
388,1,0,1_0_17,103,103_1_0,24660,Departure
389,1,0,1_0_17,105,105_1_0,24960,Arrival
390,1,0,1_0_17,105,105_1_0,25020,Departure
391,1,0,1_0_17,108,108_1_0,25380,Arrival
392,1,0,1_0_17,108,108_1_0,25440,Departure
393,1,0,1_0_17,110,110_1_0,25680,Arrival
394,1,0,1_0_17,110,110_1_0,25740,Departure
395,1,0,1_0_17,111,111_1_0,25800,Arrival
396,1,0,1_0_17,111,111_1_0,25860,Departure
397,1,0,1_0_17,113,113_1_0,26040,Arrival
398,1,0,1_0_17,113,113_1_0,26100,Departure
399,1,0,1_0_17,116,116_1_0,26400,Arrival
400,1,0,1_0_17,116,116_1_0,26460,Departure
401,1,0,1_0_17,119,119_1_0,26820,Arrival
402,1,0,1_0_17,119,119_1_0,26880,Departure
403,1,0,1_0_17,122,122_1_0,27300,Arrival
404,1,0,1_0_17,122,122_1_0,27360,Departure
405,1,0,1_0_17,125,125_1_0,27780,Arrival
406,1,0,1_0_17,125,125_1_0,27840,Departure
407,1,0,1_0_17,128,128_1_0,28200,Arrival
408,1,0,1_0_17,128,128_1_0,28260,Departure
409,1,0,1_0_18,101,101_1_0,24630,Arrival
410,1,0,1_0_18,101,101_1_0,24690,Departure
411,1,0,1_0_18,103,103_1_0,24990,Arrival
412,1,0,1_0_18,103,103_1_0,25050,Departure
413,1,0,1_0_18,105,105_1_0,25350,Arrival
414,1,0,1_0_18,105,105_1_0,25410,Departure
415,1,0,1_0_18,108,108_1_0,25770,Arrival
416,1,0,1_0_18,108,108_1_0,25830,Departure
417,1,0,1_0_18,110,110_1_0,26070,Arrival
418,1,0,1_0_18,110,110_1_0,26130,Departure
419,1,0,1_0_18,111,111_1_0,26190,Arrival
420,1,0,1_0_18,111,111_1_0,26250,Departure
421,1,0,1_0_18,113,113_1_0,26430,Arrival
422,1,0,1_0_18,113,113_1_0,26490,Departure
423,1,0,1_0_18,116,116_1_0,26790,Arrival
424,1,0,1_0_18,116,116_1_0,26850,Departure
425,1,0,1_0_18,119,119_1_0,27210,Arrival
426,1,0,1_0_18,119,119_1_0,27270,Departure
427,1,0,1_0_18,122,122_1_0,27690,Arrival
428,1,0,1_0_18,122,122_1_0,27750,Departure
429,1,0,1_0_18,125,125_1_0,28170,Arrival
430,1,0,1_0_18,125,125_1_0,28230,Departure
431,1,0,1_0_18,128,128_1_0,28590,Arrival
432,1,0,1_0_18,128,128_1_0,28650,Departure
